Interval,CumulativePlayerPointsInterval,Player,GameId,Date,Team,Opponent,Home,TeamRest,OpponentTeamRest,CumulativeTeamPointsInterval,CumulativeOpponentPointsInterval,ScoreMarginInterval,ScoreMarginxTimeRemainingInterval,ScoreMarginxTimeRemaining2Interval,RollingAvgPlayerPoints,RollingAverageOpposingTeamAllowedPoints,RollingAverageTeamPoints
3,18.0,A. Bradley - bradlav01,1291,2019-03-16,MEM,MEM,0,3.0,3.0,103,103,0,0.0,0.0,15.41792742155953,121.22566854170225,122.1626706761446
4,21.0,A. Bradley - bradlav01,1291,2019-03-16,MEM,MEM,0,3.0,3.0,128,131,-3,0.0,0.0,15.41792742155953,121.22566854170225,122.1626706761446
0,0.0,A. Burks - burksal01,575,2019-01-13,CLE,CLE,0,2.0,2.0,0,0,0,0.0,0.0,15.275165867772781,109.5162571081525,118.52535210087969
1,5.0,A. Burks - burksal01,575,2019-01-13,CLE,CLE,0,2.0,2.0,32,22,10,360.0,12960.0,15.275165867772781,109.5162571081525,118.52535210087969
2,5.0,A. Burks - burksal01,575,2019-01-13,CLE,CLE,0,2.0,2.0,51,46,5,120.0,2880.0,15.275165867772781,109.5162571081525,118.52535210087969
3,10.0,A. Burks - burksal01,575,2019-01-13,CLE,CLE,0,2.0,2.0,75,65,10,120.0,1440.0,15.275165867772781,109.5162571081525,118.52535210087969
4,17.0,A. Burks - burksal01,575,2019-01-13,CLE,CLE,0,2.0,2.0,101,95,6,0.0,0.0,15.275165867772781,109.5162571081525,118.52535210087969
0,0.0,A. Burks - burksal01,788,2019-01-09,CLE,CLE,0,1.0,1.0,0,0,0,0.0,0.0,15.119123181320537,123.38394026225971,120.43261579583417
1,5.0,A. Burks - burksal01,788,2019-01-09,CLE,CLE,0,1.0,1.0,38,25,13,468.0,16848.0,15.119123181320537,123.38394026225971,120.43261579583417
2,9.0,A. Burks - burksal01,788,2019-01-09,CLE,CLE,0,1.0,1.0,63,59,4,96.0,2304.0,15.119123181320537,123.38394026225971,120.43261579583417
3,11.0,A. Burks - burksal01,788,2019-01-09,CLE,CLE,0,1.0,1.0,91,100,-9,108.0,1296.0,15.119123181320537,123.38394026225971,120.43261579583417
4,17.0,A. Burks - burksal01,788,2019-01-09,CLE,CLE,0,1.0,1.0,124,140,-16,0.0,0.0,15.119123181320537,123.38394026225971,120.43261579583417
0,0.0,A. Caruso - carusal01,601,2019-04-09,LAL,LAL,1,2.0,2.0,0,0,0,0.0,0.0,16.35636367136342,112.15448192370616,111.75212082972621
1,2.0,A. Caruso - carusal01,601,2019-04-09,LAL,LAL,1,2.0,2.0,25,26,-1,36.0,1296.0,16.35636367136342,112.15448192370616,111.75212082972621
2,2.0,A. Caruso - carusal01,601,2019-04-09,LAL,LAL,1,2.0,2.0,48,53,-5,120.0,2880.0,16.35636367136342,112.15448192370616,111.75212082972621
3,4.0,A. Caruso - carusal01,601,2019-04-09,LAL,LAL,1,2.0,2.0,74,73,1,12.0,144.0,16.35636367136342,112.15448192370616,111.75212082972621
4,12.0,A. Caruso - carusal01,601,2019-04-09,LAL,LAL,1,2.0,2.0,101,99,2,0.0,0.0,16.35636367136342,112.15448192370616,111.75212082972621
0,0.0,A. Caruso - carusal01,608,2019-04-07,LAL,LAL,1,2.0,2.0,0,0,0,0.0,0.0,18.535528513028677,115.81895635532516,115.62818159513144
1,8.0,A. Caruso - carusal01,608,2019-04-07,LAL,LAL,1,2.0,2.0,34,27,7,252.0,9072.0,18.535528513028677,115.81895635532516,115.62818159513144
2,13.0,A. Caruso - carusal01,608,2019-04-07,LAL,LAL,1,2.0,2.0,54,56,-2,48.0,1152.0,18.535528513028677,115.81895635532516,115.62818159513144
3,17.0,A. Caruso - carusal01,608,2019-04-07,LAL,LAL,1,2.0,2.0,81,83,-2,24.0,288.0,18.535528513028677,115.81895635532516,115.62818159513144
4,18.0,A. Caruso - carusal01,608,2019-04-07,LAL,LAL,1,2.0,2.0,113,109,4,0.0,0.0,18.535528513028677,115.81895635532516,115.62818159513144
0,0.0,A. Crabbe - crabbal01,121,2019-02-21,BRK,BRK,1,4.0,4.0,0,0,0,0.0,0.0,16.34725310176961,114.25602949630331,119.72379004720258
1,2.0,A. Crabbe - crabbal01,121,2019-02-21,BRK,BRK,1,4.0,4.0,21,23,-2,72.0,2592.0,16.34725310176961,114.25602949630331,119.72379004720258
2,9.0,A. Crabbe - crabbal01,121,2019-02-21,BRK,BRK,1,4.0,4.0,50,50,0,0.0,0.0,16.34725310176961,114.25602949630331,119.72379004720258
3,12.0,A. Crabbe - crabbal01,121,2019-02-21,BRK,BRK,1,4.0,4.0,72,84,-12,144.0,1728.0,16.34725310176961,114.25602949630331,119.72379004720258
4,17.0,A. Crabbe - crabbal01,121,2019-02-21,BRK,BRK,1,4.0,4.0,99,113,-14,0.0,0.0,16.34725310176961,114.25602949630331,119.72379004720258
0,0.0,A. Crabbe - crabbal01,215,2019-02-13,BRK,BRK,0,2.0,2.0,0,0,0,0.0,0.0,16.020878896177745,121.48947239074862,127.82541503546815
1,6.0,A. Crabbe - crabbal01,215,2019-02-13,BRK,BRK,0,2.0,2.0,30,29,1,36.0,1296.0,16.020878896177745,121.48947239074862,127.82541503546815
2,8.0,A. Crabbe - crabbal01,215,2019-02-13,BRK,BRK,0,2.0,2.0,55,58,-3,72.0,1728.0,16.020878896177745,121.48947239074862,127.82541503546815
3,9.0,A. Crabbe - crabbal01,215,2019-02-13,BRK,BRK,0,2.0,2.0,84,83,1,12.0,144.0,16.020878896177745,121.48947239074862,127.82541503546815
4,14.0,A. Crabbe - crabbal01,215,2019-02-13,BRK,BRK,0,2.0,2.0,148,139,9,0.0,0.0,16.020878896177745,121.48947239074862,127.82541503546815
0,0.0,A. Crabbe - crabbal01,958,2018-12-12,BRK,BRK,0,4.0,4.0,0,0,0,0.0,0.0,15.980698940429695,118.91666311666374,116.10186063435121
1,5.0,A. Crabbe - crabbal01,958,2018-12-12,BRK,BRK,0,4.0,4.0,31,29,2,72.0,2592.0,15.980698940429695,118.91666311666374,116.10186063435121
2,8.0,A. Crabbe - crabbal01,958,2018-12-12,BRK,BRK,0,4.0,4.0,57,56,1,24.0,576.0,15.980698940429695,118.91666311666374,116.10186063435121
3,16.0,A. Crabbe - crabbal01,958,2018-12-12,BRK,BRK,0,4.0,4.0,94,84,10,120.0,1440.0,15.980698940429695,118.91666311666374,116.10186063435121
4,20.0,A. Crabbe - crabbal01,958,2018-12-12,BRK,BRK,0,4.0,4.0,127,121,6,0.0,0.0,15.980698940429695,118.91666311666374,116.10186063435121
0,0.0,A. Crabbe - crabbal01,1176,2019-02-11,BRK,BRK,0,3.0,3.0,0,0,0,0.0,0.0,17.031321857304007,119.31007810960632,117.73800418788785
1,2.0,A. Crabbe - crabbal01,1176,2019-02-11,BRK,BRK,0,3.0,3.0,29,21,8,288.0,10368.0,17.031321857304007,119.31007810960632,117.73800418788785
2,8.0,A. Crabbe - crabbal01,1176,2019-02-11,BRK,BRK,0,3.0,3.0,60,56,4,96.0,2304.0,17.031321857304007,119.31007810960632,117.73800418788785
3,13.0,A. Crabbe - crabbal01,1176,2019-02-11,BRK,BRK,0,3.0,3.0,92,88,4,48.0,576.0,17.031321857304007,119.31007810960632,117.73800418788785
4,22.0,A. Crabbe - crabbal01,1176,2019-02-11,BRK,BRK,0,3.0,3.0,125,127,-2,0.0,0.0,17.031321857304007,119.31007810960632,117.73800418788785
0,0.0,A. Davis - davisan02,462,2018-10-17,NOP,NOP,0,0.0,0.0,0,0,0,0.0,0.0,32.0,131.0,131.0
1,10.0,A. Davis - davisan02,462,2018-10-17,NOP,NOP,0,0.0,0.0,35,29,6,216.0,7776.0,32.0,131.0,131.0
2,18.0,A. Davis - davisan02,462,2018-10-17,NOP,NOP,0,0.0,0.0,71,54,17,408.0,9792.0,32.0,131.0,131.0
3,22.0,A. Davis - davisan02,462,2018-10-17,NOP,NOP,0,0.0,0.0,101,84,17,204.0,2448.0,32.0,131.0,131.0
4,32.0,A. Davis - davisan02,462,2018-10-17,NOP,NOP,0,0.0,0.0,131,109,22,0.0,0.0,32.0,131.0,131.0
0,0.0,A. Davis - davisan02,510,2019-02-22,NOP,NOP,0,4.0,4.0,0,0,0,0.0,0.0,16.258210948365065,114.7895836639782,117.61720963853732
1,8.0,A. Davis - davisan02,510,2019-02-22,NOP,NOP,0,4.0,4.0,35,24,11,396.0,14256.0,16.258210948365065,114.7895836639782,117.61720963853732
2,8.0,A. Davis - davisan02,510,2019-02-22,NOP,NOP,0,4.0,4.0,71,55,16,384.0,9216.0,16.258210948365065,114.7895836639782,117.61720963853732
3,15.0,A. Davis - davisan02,510,2019-02-22,NOP,NOP,0,4.0,4.0,94,97,-3,36.0,432.0,16.258210948365065,114.7895836639782,117.61720963853732
4,15.0,A. Davis - davisan02,510,2019-02-22,NOP,NOP,0,4.0,4.0,111,126,-15,0.0,0.0,16.258210948365065,114.7895836639782,117.61720963853732
0,0.0,A. Davis - davisan02,552,2019-01-14,NOP,NOP,0,2.0,2.0,0,0,0,0.0,0.0,36.732091402998,118.29515207784397,120.48372673940277
1,4.0,A. Davis - davisan02,552,2019-01-14,NOP,NOP,0,2.0,2.0,32,36,-4,144.0,5184.0,36.732091402998,118.29515207784397,120.48372673940277
2,17.0,A. Davis - davisan02,552,2019-01-14,NOP,NOP,0,2.0,2.0,66,63,3,72.0,1728.0,36.732091402998,118.29515207784397,120.48372673940277
3,31.0,A. Davis - davisan02,552,2019-01-14,NOP,NOP,0,2.0,2.0,94,88,6,72.0,864.0,36.732091402998,118.29515207784397,120.48372673940277
4,46.0,A. Davis - davisan02,552,2019-01-14,NOP,NOP,0,2.0,2.0,121,117,4,0.0,0.0,36.732091402998,118.29515207784397,120.48372673940277
